username,date,time,text,tweetID,placeID,pusatkota,lokasi,longitude,"latitude					"
@Anisha_Adja ,4/23/2015,15:02,#latepost #banjir #duka #eksisdulu #trendingtopikhariini #beritanews  Yaallah jgn hujan deras lgi https://instagram.com/p/1z1yCOpCCK/ ',5.91E+17,b6bbc85d8e3411a0,Banjarsari,"Banjarsari	 Indonesia",110.8156451,"-7.5471696999999995					"
@Yohanhardi_ ,4/23/2015,13:20,Chickencrot~ #chicken #karage #japanesse #sauce #italian #homemade #Bali  #banjir #hashtag @ Dapur Bunda https://instagram.com/p/1zqKE3OsGj/ ',5.91E+17,cf712fd91280ebff,Denpasar Barat,"Denpasar Barat	 Indonesia",115.1973648,"-8.650534					"
@dwi_setya27 ,4/23/2015,8:35,Jalan depan rumah sisa banjir semalam  #solo #banjir #genangan #info #instapic #instashared https://instagram.com/p/1zJlheCYfJ/ ',5.91E+17,b6bbc85d8e3411a0,Banjarsari,"Banjarsari	 Indonesia",110.8156451,"-7.5471696999999995					"
@sae_elisabeth ,4/23/2015,7:43,"'My home banjir	 aku raisoh go to school hari ini :( 			 #banjir @ Nusukan	 Solo https://instagram.com/p/1zDiRlrAyq/ '""",5.91E+17,b6bbc85d8e3411a0,Banjarsari,"Banjarsari	 Indonesia",110.8156451,-7.5471697
@Anisha_Adja ,4/24/2015,14:20,#latepost #banjir #duka #eksisdulu #trendingtopikhariini #beritanews #navy #tasimport #kepang @ https://instagram.com/p/12V0WapCKF/ ',5.92E+17,b6bbc85d8e3411a0,Banjarsari,"Banjarsari	 Indonesia",110.8156451,"-7.5471696999999995					"
@brianmoya ,4/24/2015,14:59,Ini lingkunganku.. Mana lingkunganmy.. #banjir#parah#sedih  (at Komplek Perum KORPRI) [pic]  ',5.92E+17,8f6d8fbc7060e679,Kalimantan Timur,"Kalimantan Timur	 Indonesia",116.1353565,"0.09857749999999998					"
@mOarisma ,4/26/2015,23:51,Desaku yang ku cinta semalam terendam air #ngasem #village #desangasem #colomadu #karanganyar #banjir https://instagram.com/p/1y1UkXDyA5/ ',5.92E+17,7bfe8fb3236f3c41,Banyudono,"Banyudono	 Indonesia",110.6972761,"-7.5370065					"
@okkyyurici ,4/26/2015,8:20,"'Seminar Failed! Banjir kan	 Mogok kan	 Telat kan Hayoo  #samarinda #banjir #suryanata @ Jl.suryanata https://instagram.com/p/162ORGr4vW/ '""",5.92E+17,8f6d8fbc7060e679,Kalimantan Timur,"Kalimantan Timur	 Indonesia",116.1353565,"0.09857749999999998			"
@esibinanti ,4/26/2015,11:13,Water Park  #Banjir (at Samarinda)  ',5.92E+17,8f6d8fbc7060e679,Kalimantan Timur,"Kalimantan Timur	 Indonesia",116.1353565,"0.09857749999999998					"
@Khaerunisananda ,4/29/2015,17:23,"'Negara Air menyerang #banjir (with Rhya	 Aziziyah	 and Ramdani at Trika mahkota indah komplek) [pic]  '""",5.93E+17,067af93f6029f79d,Biringkanaya,"Biringkanaya	 Indonesia",119.4956637,"-5.10557855			"
@alsa_rf ,5/1/2015,9:11,"'#blitar yang akan ke surabaya silahkan lewat jalur pare jombang	 via porong #banjir belum bisa diakses.'""",5.94E+17,a4e2e8f9c6289e0b,Sanan Wetan,"Sanan Wetan	 Indonesia",112.1687158,"-8.101634				"
@mazteg ,5/1/2015,9:17,"'Titik Kraton masih tergenang #banjir 	 Surabaya-Probolinggo dialihkan via Purwosari dan alternatif @e100ss @puspitafm @suarapasuruan'""",5.94E+17,178cce57bbd0a087,Bugul Kidul,"Bugul Kidul	 Indonesia",112.9205604,"-7.6574185				"
@Sriwijaya943FM ,5/3/2015,20:57,#ragitjalo #BANJIR .dengan kondisi Banyu dimano-mano alias Banjir.. kiro-kiro yang seharusnya  Bertanggung jawab AKAN HAL INI SIAPO ??',5.95E+17,ade30c788becb1c6,Sumatera Selatan,"Sumatera Selatan	 Indonesia",104.3912478,"-3.3209479999999996						"
@AsMaBalabala ,5/4/2015,14:56,#BanJir #pemirsah..  tiba tiba hujan tiba tiba banjir :0 @ Sekitar Kota Makasar https://instagram.com/p/2QJ6nkHjDL/ ',5.95E+17,5efad603be941ba8,Tamalate,"Tamalate	 Indonesia",119.4257678,"-5.18864695						"
@kosbemaunand ,5/4/2015,7:10,Pasca banjir... semarang sama boyolali kurang air bersih...http://www.tribunnews.com/regional/2015/05/04/semarang-dan-boyolali-kekurangan-air-bersih  #kosbemaunand #banjir',5.95E+17,ef4502813391696a,Padang Utara,"Padang Utara	 Indonesia",100.357908,"-0.9130678000000001						"
@AdeHermawan21 ,5/4/2015,16:26,Selamat datang di kolam #pettarani baru juga hujan beberapa jam sudah sebetis. #banjir (at Pettarani) [pic]  ',5.95E+17,5efad603be941ba8,Tamalate,"Tamalate	 Indonesia",119.4257678,"-5.18864695						"
@amilialiio ,5/6/2015,19:46,"'Kluar kompleks rumah	 banjiiirrr.... -.- ujan ga lama2 banget padahal. #semarang #banjir '""",5.96E+17,6f1a85b113d4900f,Gayam Sari,"Gayam Sari	 Indonesia",110.4485009,"-6.9866589999999995					"
@hamimfaz ,5/7/2015,11:30,"Turut prihatin k #bandung atas #musibah #tanahlongsor nya	 semoga segera mendapat #bantuan dr #pemerintah dan yg lain :)'",5.96E+17,ea9809774c4145c3,Mlati,"Mlati	 Indonesia",110.3292369,"-7.7366150000000005		"
@rose_ayya ,5/9/2015,16:45,Kangen itu seperti apa.....bagai hujan yang tak tertampung bumi. #Banjir',5.97E+17,3cc53ab40905a970,Cicendo,"Cicendo	 Indonesia",107.5857422,"-6.9012881						"
@EkaSetiaaa ,5/12/2015,12:36,#hujan #banjir #kasihan #vsco #vscocam @ Fakultas Ilmu Sosial Dan Ilmu Politik Universitas Mulawarman https://instagram.com/p/2kgNsWQ_qd/ ',5.98E+17,8f6d8fbc7060e679,Kalimantan Timur,"Kalimantan Timur	 Indonesia",116.1353565,"0.09857749999999998						"
@janglapuk ,5/12/2015,13:58,Harun Nafsi / HAM. Rifaddin #banjir #banjirsamarinda @samarinda @SamarindaUpdate @InfoSmr',5.98E+17,8f6d8fbc7060e679,Kalimantan Timur,"Kalimantan Timur	 Indonesia",116.1353565,"0.09857749999999998						"
@johanesverawaty ,5/18/2015,9:49,Aaaaaaaawwwwmayyyyygawwddddddd #putingbeliung @ Hill Park - Sibolangit https://instagram.com/p/2xuXLdNETV/ ',6.00E+17,b01b50c70c7c8d6f,Sibolangit,"Sibolangit	 Indonesia",98.58231053,"3.3143089999999997				"
@MrKunyah ,5/18/2015,21:55,Maceeeeet...  #tanahlongsor #plus #ngaspaljalan (at Pelabuhan penyeberangan gorontalo) ',6.00E+17,a995246d762b5b96,Kota Selatan,"Kota Selatan	 Indonesia",123.0605533,"0.5170329			"
@turpin_etienne ,5/20/2015,14:04,http://PetaJakarta.org  to address @newcitiessummit re: #banjir  http://www.dream.co.id/dinar/dua-putra-ri-terpilih-sebagai-inovator-perkotaan-terbaik-150513t.html  cc @PulseLabJakarta @NatGeoIndon @TwitterOSS',6.01E+17,beddf2d6061ea32e,DKI Jakarta,"DKI Jakarta	 Indonesia",106.8482357,"-6.23296						"
@Roezdy_Gokiel ,5/21/2015,7:00,#korban #banjir =)) =)) @ Pasar Turi (Penampungan) https://instagram.com/p/27E91lmi0-/ ',6.01E+17,c24865f5c1076f2c,Krembangan,"Krembangan	 Indonesia",112.7196701,"-7.229710799999999						"
@monitorday ,5/25/2015,9:14,"'Gagal Atasi Macet dan Banjir	 Ahok Cukup Pimpin Jakarta Sampai 2017 - http://monitorday.com  https://shar.es/1rDAnw  #banjir #macet'""",6.03E+17,ac9f3b0d4a96ff80,Cakung,"Cakung	 Indonesia",106.9473925,"-6.18487245					"
@Saptalembana ,5/26/2015,21:24,Ah yeah ? #trafficjam #badai #hujan #banjir #gadaOjek #effekstress #cool #oldstylepose #newstyle https://instagram.com/p/3JfvpUr1R5/ ',6.03E+17,7682862232d08ae0,Medan Perjuangan,"Medan Perjuangan	 Indonesia",98.69573477,"3.6211681000000002						"
@peta_mudik ,6/3/2015,11:52,"'Info #Bencana #Banjir Pondok Labu	 Rt.12/02 jaksel	 pengungsi nihil  @BPBDJakarta'""",6.06E+17,e92102d30403f7cf,Jakarta Selatan,"Jakarta Selatan	 DKI Jakarta",106.8091263,"-6.2826385		"
@nurfajarial ,6/5/2015,16:34,makhluk melata di atas atau dalam tanah mereka keluar karena takut tidak bisa bernafas jika seluruh permukaan di penuhi oleh air...#banjir',6.07E+17,2c9e37ebb2f10734,Gunung Sindur,"Gunung Sindur	 Indonesia",106.6930551,"-6.3754875				"
@kaltengbar ,6/7/2015,13:07,Selamat hari Minggu. Kota Palangkaraya sedang panas membara krn matahari bersinar galak. Jgn sampai ini undangan #KabutAsap utk datang',6.07E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472		"
@SeringanAwan ,6/8/2015,8:59,"'@HaloKBR Setuju bila pemindahan itu bs hilangkan #KabutAsap	 hentikan konversi hutan Kalteng & mendorong the real green government policy'""",6.08E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472	"
@ChepConan ,6/9/2015,16:39,"'Nu bade ka Bandung hati2 di Rancaekek depan kahatek macet... #banjir (@ Pabrik Kahatex in Rancaekek	 West Java) '""",6.08E+17,3cd5c20d2f5c2116,Rancaekek,"Rancaekek	 Indonesia",107.756695,"-6.9761355			"
@chai_sellina ,6/15/2015,11:10,Kalau yg ginian nama nya ap ya??  #sebawi #banjir @ Pasar Sebawi https://instagram.com/p/375ZHqRvk4/ ',6.10E+17,6e0f0a00ef60a2bf,Kalimantan Barat,"Kalimantan Barat	 Indonesia",111.1098952,"-0.47932985000000006				"
@kaltengbar ,6/15/2015,6:44,Sepatutnya melibatkan peran serta masyarakat untuk atasi #KabutAsap mendatang  http://ow.ly/Oj6AX  @walhi_kalteng',6.10E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472		"
@BagusPiece20 ,6/19/2015,11:25,#gunungsindorosumbing #terjadi #musibahbabibuta #kebakaranhutan #pendakiindonesia @ Puncak Gunung https://instagram.com/p/4GOWnbq8CE/ ',6.12E+17,4cb9dedf236475ad,Jagakarsa,"Jagakarsa, Indonesia",106.8279515,-6.332802
@desmanto_ ,6/25/2015,14:34,Pelatihan menggunakan Radio peringatan dini #Banjir (at Gedung Balai Kota DKI Jakarta) [pic]  ',6.14E+17,019ffe0a3471b036,Tanah Abang,"Tanah Abang	 Indonesia",106.817736,"-6.2016105				"
@Perihal ,6/30/2015,7:18,Selamat datang #KabutAsap  ',6.16E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472		"
@SeringanAwan ,7/3/2015,5:56,"'Selamat pagi kabut hulu Sungai Kahayan. Kata orang Dayak	 ini pertanda kemarau sudah datang. Bersipalah #KabutAsap '""",6.17E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472	"
@SeringanAwan ,7/4/2015,8:48,"'Kemarau tiba. S. Rungan ruas Tb Jutuh	 Gunung Mas mengering & bikin bebatuan muncul ke permukaan. Sbtr lg #KabutAsap '""",6.17E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472	"
