username,date,time,text,tweetID,placeID,pusatkota,lokasi,longitude,"latitude					"
@SeringanAwan ,1/8/2015,16:17,"'(1) Stlh #KabutAsap pergi	 datanglah #BanjirMusiman yg memutus satu2nya jalan dari & ke Bereng Bengkel	 Palangkaraya'""",5.53E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,-1.384472
@DMCDompetDhuafa ,2/6/2015,11:42,Pemerintah kab. Sukabumi akan segera memberikan bantuan darurat kepada para korban bencana #PutingBeliung',5.64E+17,beddf2d6061ea32e,DKI Jakarta,"DKI Jakarta	 Indonesia",106.8482357,"-6.23296				"
@noersize ,2/9/2015,1:35,"'#hujan deras gpp	 tpi jangan pke #banjir ya.... kesian mereka.'""",5.64E+17,d16052cf1200267a,Menteng,"Menteng	 Indonesia",106.8421736,"-6.190237			"
@AdgWira ,2/9/2015,4:05,@petajkt #banjir taman kencana banjir 30cm..',5.65E+17,93aa30b3e9be6b59,Cengkareng,"Cengkareng	 Indonesia",106.7490441,"-6.150752				"
@bpbdjakbar ,2/9/2015,4:50,"@petajkt #banjir taman kencana banjir 30cm.."" @iskandarDKI @KantorPBJakbar'a",5.65E+17,93aa30b3e9be6b59,;Cengkareng,;Cengkareng,106.7490441,"-6.150752				"
@iway_xjapan ,2/9/2015,6:14,@petajkt @petajkt banjir sdh mrendam wilayah thamrin depan sarinah stinggi 20-40cm.bgi pngendara bmotor dhrpkan bhati2.#banjir',5.65E+17,62f9f7941af63107,Tebet,"Tebet	 Indonesia",106.8568556,"-6.225841900000001				"
@TMCPoldaMetro ,2/9/2015,5:53,"'05:50 #Banjir 30-40 cm di jalur lambat dpn C One Jl. Letjen Suprapto Jakpus	 sementara dialihkan ke jalur cepat.'""",5.65E+17,00ce43ecd091a5e8,Kebayoran Baru,"Kebayoran Baru	 Indonesia",106.8079371,"-6.2445845			"
@TMCPoldaMetro ,2/9/2015,6:11,"'06:02 #Banjir 20-40 cm di Jl. Kapuk Raya	 agar hati2 bila sdg melintas.  @vrendim29_'""",5.65E+17,00ce43ecd091a5e8,Kebayoran Baru,"Kebayoran Baru	 Indonesia",106.8079371,"-6.2445845			"
@TMCPoldaMetro ,2/9/2015,6:18,"'06:12 #Banjir 30-40 cm di jalur lambat Jl. Letjen Suprapto Jakpus	 sementara dialihkan ke jalur cepat @citrahandayani'""",5.65E+17,beddf2d6061ea32e,DKI Jakarta,"DKI Jakarta	 Indonesia",106.8482357,"-6.23296			"
@yantrrri ,2/9/2015,5:54,Jakarta diguyur hujan tanpa berhenti dari jam 22:00 semlm. Ikuti akun @BPBDJakarta u informasi lokasi #banjir & genangan terkini.',5.65E+17,66555622726ab358,Setia Budi,"Setia Budi	 Indonesia",106.8350756,"-6.2213485				"
@Wijaya_Setiaw4n ,2/9/2015,2:56,Kedoya raya banjir 10-20cm @petajkt #banjir',5.65E+17,4e804e21f22144e1,Kebon Jeruk,"Kebon Jeruk	 Indonesia",106.7756626,"-6.185602				"
@nutylaraswaty ,2/9/2015,6:53,Ngga ada kata menyerah Bung http://vid.staged.com/o3vn  #banjir #bekasi',5.65E+17,555b2219c414bc99,Bekasi Barat,"Bekasi Barat	 Indonesia",106.9806262,"-6.201172				"
@RifkyJulians_W ,2/9/2015,5:46,"Ok thanks for infonya ""@petajkt: @RifkyJulians_W Kena banjir? Aktifkan geolokasi. Laporkan ke @petajkt #banjir. Cek di http://t.a",5.65E+17,67af0508137cbb0d,Gunung Putri,Gunung Putri,106.9388827,"-6.3773219999999995				"
@bpbdjakbar ,2/9/2015,4:42,"'Pkl 4.36 #Banjir 20-30 cm di Jl. kapuk muara	 Jakarta Utara @KantorPBJakbar @iskandarDKI'""",5.65E+17,93aa30b3e9be6b59,Cengkareng,"Cengkareng	 Indonesia",106.7490441,"-6.150752			"
@abi_ahsa ,2/9/2015,6:17,"'RT@TMCPoldaMetro: 05:32 #Banjir di Underpass Senen Jakpus	"""" sementara tidak bisa dilintasi semua jenis ranmor.  """"""""'""",5.65E+17,e5f4cb1c8967effa,Kerinci Kanan,"Kerinci Kanan""	 Indonesia",101.7872586,"0.44900650000000003			"
@StivenSHalim ,2/10/2015,6:46,"'#banjir daerah telukgong	 jakarta utara +/- 70-150cm @TMCPoldaMetro @petajkt #PrayForJKT'""",5.65E+17,e2e27d37d1745d63,Penjaringan,"Penjaringan	 Indonesia",106.7700359,"-6.115696		"
