zipcode,centile,superzip,rank,city,state,adultpop,households,college,income,zip_code,latitude,longitude,city,state,county
10028,99.86842,1,38,New York,NY,36366,9188,77.74%,197.1168,692,18.435818,-66.338523,Vega Alta,PR,Vega Alta
1741,99.85757,1,39,Carlisle,MA,3146,1406,83.41%,186.1369,693,18.443109,-66.398302,Vega Baja,PR,Vega Baja
6897,99.85355,1,40,Wilton,CT,11515,4858,70.73%,207.1434,694,18.443109,-66.398302,Vega Baja,PR,Vega Baja
77005,99.84606,1,41,Houston,TX,15746,5882,77.12%,195.4404,698,18.06104,-66.861164,Yauco,PR,Yauco
10022,99.83436,1,42,New York,NY,26893,6274,71.96%,203.5842,703,18.250398,-66.12845,Aguas Buenas,PR,Aguas Buenas
75225,99.82313,1,43,Dallas,TX,14008,5478,74.98%,197.7889,704,17.99229,-66.139253,Aguirre,PR,Guayama
92657,99.81815,1,44,Newport Coast,CA,4152,1547,74.06%,198.9749,705,18.128092,-66.268717,Aibonito,PR,Aibonito
28207,99.81531,1,45,Charlotte,NC,6204,2047,73.29%,199.0939,707,18.007014,-65.898719,Maunabo,PR,Maunabo
10021,99.78984,1,46,New York,NY,86540,20928,75.28%,195.3123,714,17.96751,-66.04138,Arroyo,PR,Arroyo
94301,99.76263,1,47,Palo Alto,CA,12646,3721,76.50%,192.7115,715,18.011854,-66.563721,Mercedita,PR,Ponce
10510,99.75737,1,48,Briarcliff Manor,NY,6431,2629,70.75%,202.1628,716,18.001995,-66.607429,Ponce,PR,Ponce
20816,99.75265,1,49,Bethesda,MD,10854,4319,79.94%,186.1499,717,18.001995,-66.607429,Ponce,PR,Ponce
20854,99.74097,1,50,Potomac,MD,31674,13537,76.27%,192.365,718,18.22139,-65.77831,Naguabo,PR,Naguabo
10538,99.7291,1,51,Larchmont,NY,11598,4708,70.98%,200.6251,719,18.298017,-66.229751,Naranjito,PR,Naranjito
63124,99.72389,1,52,Saint Louis,MO,7345,2789,65.57%,209.3141,720,18.226862,-66.39402,Orocovis,PR,Orocovis
75205,99.71784,1,53,Dallas,TX,14723,4968,73.01%,196.4277,721,18.364161,-65.778288,Palmer,PR,Rio Grande
98039,99.7132,1,54,Medina,WA,2129,901,72.99%,196.3597,723,18.009994,-66.010572,Patillas,PR,Patillas
10583,99.70547,1,55,Scarsdale,NY,26102,10873,70.37%,200.2341,725,18.212965,-66.058033,Caguas,PR,Caguas
6853,99.69759,1,56,Norwalk,CT,2599,980,68.91%,201.5783,726,18.212965,-66.058033,Caguas,PR,Caguas
6880,99.69196,1,57,Westport,CT,17889,7182,69.49%,200.2341,727,18.212965,-66.058033,Caguas,PR,Caguas
7970,99.687,1,,Mount Freedom,NJ,189,86,71.43%,196.14,728,18.001995,-66.607429,Ponce,PR,Ponce
95070,99.68106,1,58,Saratoga,CA,21476,8815,67.86%,201.2985,729,18.333093,-65.883864,Canovanas,PR,Canovanas
2481,99.67262,1,59,Wellesley Hills,MA,9273,3866,79.52%,180.2932,730,18.001995,-66.607429,Ponce,PR,Ponce
20812,99.67003,1,,Glen Echo,MD,162,62,84.57%,171.548,731,18.03831,-66.626344,Ponce,PR,Ponce
20818,99.66962,1,60,Cabin John,MD,1325,530,77.21%,183.2379,732,18.021781,-66.613742,Ponce,PR,Ponce
95030,99.66657,1,61,Los Gatos,CA,9795,3460,67.34%,199.6195,733,18.019331,-66.619165,Ponce,PR,Ponce
22101,99.65833,1,62,McLean,VA,20232,8190,75.64%,185.0267,734,17.999499,-66.643934,Ponce,PR,Ponce
94024,99.64854,1,63,Los Altos,CA,15378,6376,72.13%,190.6952,735,18.264872,-65.594769,Ceiba,PR,Ceiba
20007,99.63944,1,64,Washington,DC,17804,4295,83.07%,171.5035,736,18.102967,-66.139274,Cayey,PR,Cayey
19710,99.63454,1,,Montchanin,DE,26,8,30.77%,261.5213,737,18.102967,-66.139274,Cayey,PR,Cayey
10280,99.63304,1,65,New York,NY,5422,1613,78.27%,179.0758,738,18.359381,-65.611361,Fajardo,PR,Fajardo
11576,99.62926,1,66,Roslyn,NY,8374,3533,67.16%,196.4878,739,18.181469,-66.169519,Cidra,PR,Cidra
20016,99.62091,1,67,Washington,DC,22077,6355,78.67%,174.9843,740,18.331958,-65.63878,Puerto Real,PR,Fajardo
7043,99.61266,1,68,Montclair,NJ,7984,3233,73.57%,183.557,741,18.162156,-65.753485,Punta Santiago,PR,Humacao
20815,99.60468,1,69,Chevy Chase,MD,21067,7353,78.72%,174.3135,742,18.264872,-65.594769,Roosevelt Roads,PR,Ceiba
6870,99.59756,1,70,Old Greenwich,CT,4833,2019,72.05%,185.5327,744,18.206329,-65.743058,Rio Blanco,PR,Naguabo
2199,99.59599,1,71,Boston,MA,909,184,76.68%,176.6097,745,18.367347,-65.816583,Rio Grande,PR,Rio Grande
44040,99.59519,1,72,Gates Mills,OH,2055,872,63.94%,198.4701,751,17.99852,-66.264825,Salinas,PR,Salinas
8550,99.59162,1,73,Princeton Junction,NJ,10947,4896,73.65%,181.6819,754,18.187584,-65.962389,San Lorenzo,PR,San Lorenzo
1773,99.5876,1,74,Lincoln,MA,3659,1489,76.93%,175.9637,757,17.991233,-66.395543,Santa Isabel,PR,Santa Isabel
94507,99.58385,1,75,Alamo,CA,10035,4350,63.57%,198.9461,765,18.123347,-65.460356,Vieques,PR,Vieques
1770,99.58034,1,76,Sherborn,MA,2728,1233,75.62%,178.1095,766,18.120519,-66.496607,Villalba,PR,Villalba
10024,99.5659,1,77,New York,NY,49837,12623,73.93%,180.6685,767,18.045522,-65.886988,Yabucoa,PR,Yabucoa
22124,99.54959,1,78,Oakton,VA,9621,3951,72.81%,182.0898,769,18.095992,-66.35081,Coamo,PR,Coamo
